Run,BioSample,Ecotype,Organism,Sample Name,Tissue,dev_stage,Age,Treatment
SRR3581876,SAMN05170753,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 3 (POD3),Pod 3,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581711,SAMN05170754,Col-0 (CS70000),Arabidopsis thaliana,Silique 4 (SL4),Silique 4,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581877,SAMN05170754,Col-0 (CS70000),Arabidopsis thaliana,Silique 4 (SL4),Silique 4,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581712,SAMN05170755,Col-0 (CS70000),Arabidopsis thaliana,Seeds 5 (SD5),Seed 5,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581878,SAMN05170755,Col-0 (CS70000),Arabidopsis thaliana,Seeds 5 (SD5),Seed 5,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581713,SAMN05170756,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 5 (POD5),Pod 5,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581879,SAMN05170756,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 5 (POD5),Pod 5,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581714,SAMN05170757,Col-0 (CS70000),Arabidopsis thaliana,Silique 6 (SL6),Silique 6,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581880,SAMN05170757,Col-0 (CS70000),Arabidopsis thaliana,Silique 6 (SL6),Silique 6,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581715,SAMN05170758,Col-0 (CS70000),Arabidopsis thaliana,Seeds 7 (SD7),Seed 7,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581881,SAMN05170758,Col-0 (CS70000),Arabidopsis thaliana,Seeds 7 (SD7),Seed 7,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581716,SAMN05170759,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 7 (POD7),Pod 7,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581882,SAMN05170759,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 7 (POD7),Pod 7,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581717,SAMN05170760,Col-0 (CS70000),Arabidopsis thaliana,Silique 8 (SL8),Silique 8,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581883,SAMN05170760,Col-0 (CS70000),Arabidopsis thaliana,Silique 8 (SL8),Silique 8,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581719,SAMN05170761,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 1 (SD.y1),Seed from silique 1,abscission of the first flower,NA,NA
SRR3581884,SAMN05170761,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 1 (SD.y1),Seed from silique 1,abscission of the first flower,NA,NA
SRR3581720,SAMN05170762,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 2 (SD.y2),Seed from silique 2,abscission of the first flower,NA,NA
SRR3581885,SAMN05170762,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 2 (SD.y2),Seed from silique 2,abscission of the first flower,NA,NA
SRR3581721,SAMN05170763,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 3 (SD.y3),Seed from silique 3,abscission of the first flower,NA,NA
SRR3581886,SAMN05170763,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 3 (SD.y3),Seed from silique 3,abscission of the first flower,NA,NA
SRR3581724,SAMN05170764,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 4 (SD.y4),Seed from silique 4,abscission of the first flower,NA,NA
SRR3581887,SAMN05170764,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 4 (SD.y4),Seed from silique 4,abscission of the first flower,NA,NA
SRR3581726,SAMN05170765,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 5 (SD.y5),Seed from silique 5,abscission of the first flower,NA,NA
SRR3581888,SAMN05170765,Col-0 (CS70000),Arabidopsis thaliana,Young seeds 5 (SD.y5),Seed from silique 5,abscission of the first flower,NA,NA
SRR3581727,SAMN05170766,Col-0 (CS70000),Arabidopsis thaliana,Ovules from 6th and 7th flowers (OV.y6-7),Ovule,abscission of the first flower,NA,NA
SRR3581889,SAMN05170766,Col-0 (CS70000),Arabidopsis thaliana,Ovules from 6th and 7th flowers (OV.y6-7),Ovule,abscission of the first flower,NA,NA
SRR3581728,SAMN05170767,Col-0 (CS70000),Arabidopsis thaliana,Stigmatic tissue (STI),Stigma,abscission of the first flower,NA,NA
SRR3581890,SAMN05170767,Col-0 (CS70000),Arabidopsis thaliana,Stigmatic tissue (STI),Stigma,abscission of the first flower,NA,NA
SRR3581730,SAMN05170768,Col-0 (CS70000),Arabidopsis thaliana,Carpel of 6th and 7th flowers (POD.y6-7),Carpel,abscission of the first flower,NA,NA
SRR3581891,SAMN05170768,Col-0 (CS70000),Arabidopsis thaliana,Carpel of 6th and 7th flowers (POD.y6-7),Carpel,abscission of the first flower,NA,NA
